project_id,title,completion_year,supervisors
BPH000087,DEVELOPMENT AND VALIDATION OF A TLC DENSITOMETRIC METHOD FOR ANALYSIS OF QUININE IN COMMERCIAL FORMULATIONS,2006,KAALE; NGASSAPA
BPH000088,"AVAILABILITY AFFORDABILITY, ACCEPT ABILITY OF CONDOMS AND PREPAREDNESS TO USE THEM IN KINONDONI DISTRICT, DAR ES SALAAM.",2006,KALALA
BPH000089,"ASSESSMENT OF KNOWLEDGE, ATTITUDE AND ACCEPTABILITY OF SPERMICIDAL CONTRACEPTION AMONG STUDENTS OF UNIVERSITY OF DAR ES SALAAM.",2006,MWAMBETE
BPH000090,USE OF COMPLEMENTARY THERAPIES BY HIV/AIDS PATIENTS AT MUHIMBILI NATIONAL HOSPITAL.,2006,NGASSAPA
BPH000091,FORMULATION OF TROPICAL OINTMENT FROM TERMINALIA SERICEA FOR TREATMENT OF SKIN INFECTIONS,2006,MOSHI
BPH000092,ABTUNUCRIBIAL AND BRINE SHRIMPS LETHALITY TEST EXTRACTS OF ADHATODA ENGLERIANA,2006,MOSHI
BPH000093,CONTRACEPTIVE METHODS USED AMONG FEMALES OF REPRODUCTIVE AGE GROUP IN ILALA RURAL AREAS.,2006,RIMOY
BPH000094,BIOASSAY GUIDED-FRACTIONATION OF AQUEOUS METHANOLIC ROOT EXTRACT OF PLEC,2006,NGASSAPA
BPH000095,PRESCRIBING PATTERN OF DRUGS FOR PAEDIATRIC WARDS IN MUNICIPAL HOSPITALS OF DAR ES SALAAM.,2006,TEMU
BPH000096,ABO BLOOD GROUP SYSTEM AND PREVALANCE TO HIV INFECTION,2006,KAALE
BPH000097,ROLE PLAYED BY PHARMACIST IN THE USE OF VERERINARY PHARMACEUTICAL PRODUCTS IN DSM.,2006,TEMU
BPH000098,ASSESSMENT OF DRUG USE IN NURSING MOTHERS-A POPULATION BASED SURVEY AMONG DSM WOMEN.,2006,KAMUHABWA
BPH000099,BRINE SHRIMP LETHALITY ASSAY OF THE CHROMATOGRAPHIC FRACTIONS OF ZANHA AFRICANA ROOT BARK AQUEOUS METHANOLIC EXTRACT,2006,KAMUHABWA
BPH000100,Prevalence of Adverse Drug Reactions in clinical practice,2006,
BPH000101,ANTIBIOTICS MISUSE AMONG BOARDING SECONDARY SCHOOL STUDENTS IN DSM.,2006,MWAMBETE
BPH000102,Evaluation of the effect of antiretroviral drugs on immunological and clinical aspects among their users at Muhimbili National Hospital,2006,
BPH000103,THE PREVALENCE AND EXTEND OF ANTICANCER CHEMOTHERAPY SIDE EFFECTS AT OCEAN ROAD HOSPITAL,2006,MWAMBETE
BPH000104,SCRREENING FOR ANTIMICROBIAL AND CYTOTOXICITY OF STEM BARK EXTRACTS OF TERMINALIA BROWNII FRIES.,2006,MOSHI
BPH000105,Antimicrobial investigation of Terminaria brownii roots,2006,
BPH000106,"KNOWLEDGE, ATTITUDE AND PRACTICE ON ANTIMALARIALS AND INSECTICIDE TREATED NETS AMONG ADULTS IN KISARAWE DISTRICT.",2006,MUNG’ONG’O
BPH000107,HPLC ANALYSIS OF RESIDUAL OXYTETRACYCLINE IN FRESH MILK USING PLRP BASED COLUMN.,2006,KAALE
BPH000108,ANTIBACTERIAL AND ANTIFUNGAL SCRRNING OF TERMINALIA BROWNII STEM WOOD EXTRACTS.,2006,MOSHI; TEMU
BPH000109,POVERTY AND PATIENT ABANDONMENT AT MNH,2006,MWAMBETE
BPH000110,Quality Assessment of Hydrogen peroxide solutions based antiseptics circulating in Dar es Salaam city,2006,
BPH000111,OPD-PRESCRIPTION INTERVENTION ACTIVITIES BY PHARMACISTS AT AGAKHAN HOSPITAL-DSM.,2006,MUGOYELA
BPH000112,DETERMINATION OF PREVALENCE OF BACTERIURIA IN DIABETICS AT MUHIMBILI NATIONAL HOSPITAL,2006,MWAMBETE
BPH000113,EVALUATION OF BRINE SHRIMP LETHALITY OF CHROMATOGRAPHIC FRACTIONS OF AGATHISA THEMUM BOJERI ROOT,2006,KAMUHABWA
BPH000114,ASSESSMENT FOF AWARENESS ON RATIONAL USE OF VETERINARY MEDICINE,2006,KAALE
BPH000115,Prevalence/Extent of adverse effects of cancer chemotherapy,2006,
BPH000116,THE SCREENING FOR CYTOTOXICITY AND ANTIMICROBIAL ACTIVITIES OF DIOSPYROS USAMBARENSIS CRUDE ROOT EXTRACT,2006,MOSHI
BPH000117,"ATTITUDE AND CONCEPTIONS OF PHARMACISTS, AND MEDICAL, PHARMACY, DENTAL AND NURSING STUDENTS TO USE OF COMPLEMENTARY AND ALTERNATIVE MEDICINE IN HIV/AIDS",2006,NGASSAPA
BPH000118,ANTIMICROBIAL AND BRINE SHRIMP ACTIVITY OF DALBERGIA VACCINIFOLIA,2006,MOSHI; MBWAMBO
BPH000119,ASSESSMENT OF AWARENESS AND PRACTICE OF DRUG ABUSE AMONG SECONDARY SCHOOL STUDENTS AND STREET YOUTHS IN ILALA MUNICIPALITY,2006,KAMUHABWA
BPH000120,EVALUATION OF ELEDERLY DRUG USE IN SOME OF THE DSM HOSPITALS.,2006,KAMUHABWA
BPH000121,THE CURRENT STATUS OF DISPOSAL OF UNFIT PHARMACEUTICAL PRODUCTS IN TANZANIA.,2006,KAALE
BPH000122,Assessment of Rational drug use among livestock keeper and veterinary surgeon in three districts of Dar es Salaam,2006,
BPH000123,ASSESSMENT OF PROBLEMS ON USE OF COSMETICS AMONG WOMEN OF CHILD BEARING AGE,2006,MUGOYELA
BPH000124,"ANTIMICROBIAL ACTIVITY OF NON ANTIBIOTICS, NON STEROIDAL, ANTI INFLAMATORY AGENTS AND ANTHELMINTHICS.",2007,MWAMBETE
BPH000125,"KNOWLEDGE, ATTITUDE AND PRACTICE (KAP) OF VOLUNTARY COUNSELLING AND HIV TESTING AMONG SECONDARY SCHOOL STUDENTS IN TANGA MUNICIPALITY.",2007,MUNG’ONG’O
BPH000126,ASSESSMENT OF CURRENT PHARMACEUTICAL PERSONNELSï¾’ WORK TIME UTILIZATION IN COMMUNITY PHARMACIES IN DSM.,2007,MUGOYELA
BPH000127,USE OF THE STANDARD TREATMENT GUIDELINES TO ASSESS THE PRESCRIBING PRACTICE IN PRIMARY HEALTH CARE FACILITIES ACCREDITED BY NHIF.,2007,RISHA
BPH000128,TO ASSESS KNOWLEDGE ON MANAGEMENT OF PATIENTS WITH DIARRHOEA DISEASE IN PART II SHOPS IN ILALA DISTRICT.,2007,KALALA
BPH000129,INVESTIGATION OF INVENTORY MANAGEMENT OF ANTITETROVIRAL COMODITIES AT CARE AND TREATMENT CLINICS IN DSM.,2007,MUGOYELA
BPH000130,ASSESSMENT OF AVAILABILITY AND KNOWLEDGE OF PART II SHOP DISPENSERS ON ARTEMETHER/LUMEFANTRINE (ALU),2007,MINZI
BPH000131,ASSESSMENT OF APPLICATION OF INFORMATION AND COMMUNICATION TECHNOLOGY IN PHARMACEUTICAL SECTORS IN DSM. CITY.,2007,CHAMBUSO
BPH000132,ANTIBACTERIAL ACTIVITIES OF ALLIUM CEPA VARIETIES AVAILABLE IN DSM MARKETS,2007,MWAMBETE
BPH000133,TO INVESTIGATE THE MANAGEMENT OF SHARPS IN HEALTH FACILITIES IN DSM REGION.,2007,MALELE
BPH000134,"A SURVEY STUDY IN DSM ON THE EFFECTIVENESS OF ANTI-AIDS COMPAIGNS IN SECONDARY SCHOOLS: UNDERSTANDING, COMPLIANCE OF SAFE SEX AND ABSTINENCE.",2007,KALALA
BPH000135,THE ATTITUDE OF NON- MEDICAL STAFFS AT MUCHS AND MNH TOWARDS PEOPLE LIVING WITH HIV/AIDS.,2007,KALALA
BPH000136,ASSESSMENT OF USE OF SYNTHETIC APHRODISIAC MEDICINES AMONG ADULT MEN IN DSM.,2007,MUGOYELA
BPH000137,MICROBIAL CONTAMINATION AND PRESERVATIVE CAPACITY OF SOME BRANDS OF COSMETIC CREAMS IN DSM MARKET,2007,MWAMBETE
BPH000138,EVALUATION OF COLLABORATIVE WORKING RELATIONSHIP BETWEEN PHARMACISTS AND PHYSICIANS (DOCTORS),2007,KALALA
BPH000139,ANTIMICROBIAL ACTIVITY OF COMMONLY AVAILABLE TOOTHPASTES IN DSM MARKET ON ORAL MICROBACTERIA,2007,MWAMBETE
BPH000140,AN ASSESSMENT OF THE TRENDS OF PHARMACEUTICAL HUMAN RESOURCE DEVELOPMENT AND DEPLOYMENT IN TANZANIA.,2007,CHAMBUSO
BPH000141,VALIDATION OF PATIENT SELF-REPORT AS A MEASURE OF ADHERENCE TO ANTIRETROVIRAL THERAPY USING UN-ANNOUNCED HOME-BASED PILL-COUNT,2007,MINZI
BPH000142,DEVELOPMENT AND VALIDATION OF AN HPTLC DENSITOMETRIC METHOD FOR ASSAY OF FIXED DOSE COMBINATION OF SOLID DOSAGE FORM OF CO-TRIMOXAZOLE,2007,KAALE
BPH000143,In Vivo Evaluation of Caesalpinia Bonduc root methanolic extract for Antimalarial Activity,2007,
BPH000144,Development of formulations from Aloe Barbadensis,2007,
BPH000145,Treatment received by children of under ten before being presented at Temeke and Mwananyamala in Dare s Salaam,2007,
BPH000146,Microbial Quality and Chromatographic finger printing of a Juice product from Hibiscus sabdariffa calyces,2007,
